root_domain,host,endpoint,server_name,server_version,protocol_version,verdict,auth,quality,http_status,dynamic_client_registration,authorization_endpoint,token_endpoint,registration_endpoint,issuer,prm_url,scopes,is_docs_mcp,source_file
aarna.ai,mcp.aarna.ai,https://mcp.aarna.ai/mcp,Crypto Technical Features,1.27.0,2025-06-18,open,none,open,200,False,,,,,,,False,probe_hq.jsonl
adebisiayomide.com,blogging-mcp.adebisiayomide.com,https://blogging-mcp.adebisiayomide.com/mcp,Blogging MCP,3.1.1,2025-06-18,open,none,open,200,False,,,,,,,False,probe_spray.jsonl
adplug.app,api.adplug.app,https://api.adplug.app/mcp/google,,,,auth_required,oauth,oauth,401,True,https://zmumsjdibunozldreevw.supabase.co/auth/v1/oauth/authorize,https://zmumsjdibunozldreevw.supabase.co/auth/v1/oauth/token,https://zmumsjdibunozldreevw.supabase.co/auth/v1/oauth/clients/register,https://zmumsjdibunozldreevw.supabase.co/auth/v1,https://api.adplug.app/.well-known/oauth-protected-resource/mcp,"openid,profile,email,phone",False,probe_hq.jsonl
aerostack.dev,mcp.aerostack.dev,https://mcp.aerostack.dev,mcp-aerostack-registry,1.0.0,2024-11-05,open,none,open,200,False,,,,,,,False,probe_hq.jsonl
agentberg.ai,agentberg.ai,https://agentberg.ai/mcp,agentberg,1.29.0,2025-06-18,open,none,open,200,False,,,,,,,False,probe_gh.jsonl
agenticfabricationnetwork.ai,agenticfabricationnetwork.ai,https://agenticfabricationnetwork.ai/mcp,ufp,0.1.0,2025-06-18,open,none,open,200,False,,,,,,,False,probe_gh.jsonl
agenticshelf.ai,api.agenticshelf.ai,https://api.agenticshelf.ai/mcp,AgenticShelf-Inventory,1.28.1,2025-06-18,open,none,open,200,False,,,,,,,False,probe_hq.jsonl
agenticterminal.ai,mcp.agenticterminal.ai,https://mcp.agenticterminal.ai/mcp,at-directory,0.0.1,2025-06-18,open,none,open,200,False,,,,,,,False,probe_hq.jsonl
agora.io,mcp.agora.io,https://mcp.agora.io,algolia-mcp,1.0.0,2025-06-18,open,none,open,200,False,,,,,,,False,probe_hq.jsonl
ai-akari.ai,ai-akari.ai,https://ai-akari.ai/mcp,ai-akari-public-capabilities,2026.08.01.1,2025-06-18,open,none,open,200,False,,,,,,,False,probe.jsonl
ai-portal.ai,www.ai-portal.ai,https://www.ai-portal.ai/mcp,ai-portal,1.0.0,2025-06-18,open,none,open,200,False,,,,,,,False,probe.jsonl
airshelf.ai,mcp.airshelf.ai,https://mcp.airshelf.ai/mcp,AirShelf,1.0.0,2025-06-18,open,none,open,200,False,,,,,,,False,probe.jsonl
aloware.io,app.aloware.io,https://app.aloware.io/mcp,,,,auth_required,oauth,oauth,401,True,https://app.aloware.io/oauth/authorize,https://app.aloware.io/oauth/token,https://app.aloware.io/oauth/register,https://app.aloware.io,https://app.aloware.io/.well-known/oauth-protected-resource/mcp,mcp:use,False,probe_hq.jsonl
analyticslegends.ai,analyticslegends.ai,https://analyticslegends.ai/mcp,analytics-legends,1.0.0,2025-06-18,open,none,open,200,False,,,,,,,False,probe.jsonl
api.airforce,api.airforce,https://api.airforce/mcp,,,,auth_required,oauth,oauth,401,False,https://api.airforce/oauth/authorize,https://api.airforce/oauth/token,,https://api.airforce,https://api.airforce/.well-known/oauth-protected-resource,"profile,chat,images,keys:read,keys:write",False,probe_hq.jsonl
apideck.dev,mcp.apideck.dev,https://mcp.apideck.dev/mcp,apideck-mcp,0.18.0,2025-06-18,open,none,open,200,False,,,,,,,False,probe_hq.jsonl
argushq.ai,argushq.ai,https://argushq.ai/api/mcp,mcp-typescript server on vercel,0.1.0,2025-06-18,open,none,open,200,False,,,,,,,False,probe_spray.jsonl
art-internal.com,mcp.360.prod.art-internal.com,https://mcp.360.prod.art-internal.com/mcp,rise-mcp,1.0.0,2025-06-18,open,oauth,open,200,True,https://id.articulate.com/oauth2/default/v1/authorize,https://id.articulate.com/oauth2/default/v1/token,https://id.articulate.com/oauth2/v1/clients,https://id.articulate.com/oauth2/default,https://mcp.360.prod.art-internal.com/.well-known/oauth-protected-resource/mcp,"articulate_id,avatar,community_roles,company,content_team_admin,profile_name,staff,training_admin,user_subscription,openid,profile,email,address,phone,offline_access,device_sso",False,probe_hq.jsonl
assemblyai.com,mcp.assemblyai.com,https://mcp.assemblyai.com/api/mcp,mcp-typescript server on vercel,0.1.0,2025-06-18,open,none,open,200,False,,,,,,,False,probe_hq.jsonl
assinafy.com.br,mcp.assinafy.com.br,https://mcp.assinafy.com.br/mcp,assinafy-mcp-server,v1.1.0,2025-06-18,open,none,open,200,False,,,,,,,False,probe_hq.jsonl
atdev.ai,supershopping-mcp.atdev.ai,https://supershopping-mcp.atdev.ai/mcp,supershopping,3.4.2,2025-06-18,open,none,open,200,False,,,,,,,False,probe_hq.jsonl
attentivemobile.com,events.attentivemobile.com,https://events.attentivemobile.com/api/mcp,,,,auth_required,bearer,bearer,401,False,,,,,,,False,probe_spray.jsonl
auralogs.ai,mcp.auralogs.ai,https://mcp.auralogs.ai/mcp,auralogs,0.1.0,2025-03-26,open,none,open,200,False,,,,,,,False,probe_hq.jsonl
auteng.ai,auteng.ai,https://auteng.ai/mcp/docs,auteng-docs,1.26.0,2025-06-18,open,none,open,200,False,,,,,,,True,probe_spray.jsonl
autonomad.ai,mcp.autonomad.ai,https://mcp.autonomad.ai/mcp,autonomad-travel,1.4.0,2025-06-18,open,none,open,200,False,,,,,,,False,probe_hq.jsonl
avax.network,build.avax.network,https://build.avax.network/api/mcp,avalanche-mcp,2.4.0,2024-11-05,open,none,open,200,False,,,,,,,False,probe_hq.jsonl
aviado.ai,aviado.ai,https://aviado.ai/api/mcp,aviado,1.0.0,2025-06-18,open,none,open,200,False,,,,,,,False,probe_hq.jsonl
axonagentic.ai,mcp.neuroautomata.axonagentic.ai,https://mcp.neuroautomata.axonagentic.ai/mcp,,,,auth_required,oauth,oauth,401,True,https://clerk.axonagentic.ai/oauth/authorize,https://clerk.axonagentic.ai/oauth/token,https://clerk.axonagentic.ai/oauth/register,https://clerk.axonagentic.ai,https://mcp.neuroautomata.axonagentic.ai/.well-known/oauth-protected-resource/mcp,"openid,profile,email,public_metadata,private_metadata,offline_access",False,probe_hq.jsonl
backendless.com,develop.backendless.com,https://develop.backendless.com/mcp,,,,auth_required,oauth,oauth,401,True,https://develop.backendless.com/developer/oauth2/authorize,https://develop.backendless.com/developer/oauth2/token,https://develop.backendless.com/developer/oauth2/client/mcp-register,https://develop.backendless.com,https://develop.backendless.com/.well-known/oauth-protected-resource,,False,probe_hq.jsonl
backendless.com,eu-develop.backendless.com,https://eu-develop.backendless.com/mcp,,,,auth_required,oauth,oauth,401,True,https://eu-develop.backendless.com/developer/oauth2/authorize,https://eu-develop.backendless.com/developer/oauth2/token,https://eu-develop.backendless.com/developer/oauth2/client/mcp-register,https://eu-develop.backendless.com,https://eu-develop.backendless.com/.well-known/oauth-protected-resource,,False,probe_hq.jsonl
baseten.co,docs.baseten.co,https://docs.baseten.co/mcp,Baseten,1.0.0,2025-06-18,open,none,open,200,False,,,,,,,True,probe_hq.jsonl
bezal.ai,app.bezal.ai,https://app.bezal.ai/api/mcp,bezal,1.1.0,2025-06-18,open,none,open,200,False,,,,,,,False,probe_hq.jsonl
biddeed.ai,mcp.biddeed.ai,https://mcp.biddeed.ai/api/mcp,,,,auth_required,oauth,oauth,401,False,,,,,https://mcp.biddeed.ai/.well-known/oauth-protected-resource,,False,probe_hq.jsonl
biel.ai,mcp.biel.ai,https://mcp.biel.ai/sse,biel-ai-mcp,2.0.0,2024-11-05,open,none,open,200,False,,,,,,,False,probe_hq.jsonl
bigcommerce.com,docs.bigcommerce.com,https://docs.bigcommerce.com/mcp,fern-docs-mcp-server,1.0.0,2025-06-18,open,none,open,200,False,,,,,,,True,probe_hq.jsonl
birdie.so,api.birdie.so,https://api.birdie.so/mcp,,,,auth_required,oauth,oauth,401,True,https://api.birdie.so/oauth/authorize,https://api.birdie.so/oauth/token,https://api.birdie.so/oauth/register,https://api.birdie.so,https://api.birdie.so/.well-known/oauth-protected-resource/mcp,mcp:use,False,probe_spray.jsonl
